change_id,source_id,detected_at,previous_hash,new_hash,change_type,previous_version,new_version,affected_rule_ids,review_status,reviewed_by,reviewed_at,activation_status,notes
chg_src_tw_fsc_law_portal_20260812T075707Z,src_tw_fsc_law_portal,2026-08-12T07:57:07Z,,9f8e54d05b6fd15d5b5ede470703adc52210ef07e1926c9c8bda661cbc5b99e9,BASELINE_CAPTURED,portal_live,portal_live,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_annual_report_rules_fl007032_20260812T075709Z,src_tw_annual_report_rules_fl007032,2026-08-12T07:57:09Z,,0a8edf9c7180813121b50632ce1174791741396170a0b47caf1d02900dbd1908,BASELINE_CAPTURED,2025-12-19_amended,2025-12-19_amended,tw_ar_art7_2_sustainability_chapter;tw_ar_art10_1_risk_opportunity_identification;tw_ar_art10_1_materiality_definition;tw_ar_art10_1_reporting_entity_period;tw_ar_art10_1_comparative_information;tw_ar_art10_1_compliance_statement_fair_presentation;tw_ar_art10_1_connected_information;tw_ar_art10_1_governance;tw_ar_art10_1_strategy;tw_ar_art10_1_risk_management;tw_ar_art10_1_metrics_targets;tw_ar_art10_1_first_year_climate_only;tw_ar_art10_1_ghg_measurement_method;tw_ar_art10_1_scope12_assurance_hook;tw_ar_art2_excludes_bank_fhc_bills;tw_ar_not_securities_or_fcm_family;tw_securities_firm_uses_general_ar_if_public_company,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_order_11403851756_20260812T075711Z,src_tw_order_11403851756,2026-08-12T07:57:11Z,,2cb6ee2d17b198b53794af634c6b1f9919adce8b5532cad66537baecfb62db36,BASELINE_CAPTURED,金管證審字第11403851756號,金管證審字第11403851756號,tw_order_51756_phase1_ge_10bn;tw_order_51756_phase2_5_to_10bn;tw_order_51756_phase3_lt_5bn;tw_order_51756_early_adoption;tw_order_51756_replace_prior_climate_table;tw_order_51756_scope12_consolidated_assurance;tw_order_51756_assurance_october_mops_fallback;tw_order_51756_assurance_difference_correction;tw_order_51756_material_difference_board_reapproval;tw_order_51756_assurance_provider_qualification;tw_order_51756_scope3_from_fourth_year;tw_order_51756_net_worth_substitute_thresholds;tw_order_51756_not_covering_securities_or_fcm,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_order_11403851755_20260812T075712Z,src_tw_order_11403851755,2026-08-12T07:57:12Z,,d880a5f4f24555f029afa4b751b370d87cecdaf5fb2e239fede2dc36ee11b7e9,BASELINE_CAPTURED,金管證審字第11403851755號,金管證審字第11403851755號,tw_order_51755_recognised_ifrs_version_locus,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_sfb_ifrs_download_area_20260812T075713Z,src_tw_sfb_ifrs_download_area,2026-08-12T07:57:13Z,,44cc246d15926820c0d73cdabdc2b5991c1d84513bcf1e0385e1968364df7d3a,BASELINE_CAPTURED,portal_live,portal_live,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_order_11402739247_fi_20260812T075753Z,src_tw_order_11402739247_fi,2026-08-12T07:57:53Z,,9b4d7f80b245199e34e9b2b8515eeaf47b13f9af8b2d015ae26bfe821ad757e6,BASELINE_CAPTURED,金管銀法字第11402739247號,金管銀法字第11402739247號,tw_fi_fhc_apply_fy2026;tw_fi_bank_listed_or_fhc_sub_fy2026;tw_fi_bank_nonlisted_non_fhc_sub_fy2027;tw_fi_bills_listed_or_fhc_sub_fy2026;tw_fi_scope3_from_fourth_year;tw_fi_scope12_assurance,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_bank_annual_report_fl006611_20260812T075756Z,src_tw_bank_annual_report_fl006611,2026-08-12T07:57:56Z,,59a838c66759c9d10c846cb31f12fde373e0d2d9ede16c96780b60ea055474e1,BASELINE_CAPTURED,2025-12_amended,2025-12_amended,tw_fi_bank_regulation_family,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_fhc_annual_report_fl006626_20260812T075757Z,src_tw_fhc_annual_report_fl006626,2026-08-12T07:57:57Z,,24f4104df65025b974d2e18aa335a09a962d86dc854ab27158f8e51aeeff1277,BASELINE_CAPTURED,2025-12_amended,2025-12_amended,tw_fi_fhc_regulation_family,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_bills_annual_report_fl006628_20260812T075758Z,src_tw_bills_annual_report_fl006628,2026-08-12T07:57:58Z,,80a088dc93323db28e1b874315bce7073f6e07832080cc627be63af8f5a75353,BASELINE_CAPTURED,2025-12_amended,2025-12_amended,tw_fi_bills_regulation_family,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_securities_fin_report_fl007040_20260812T075800Z,src_tw_securities_fin_report_fl007040,2026-08-12T07:58:00Z,,8a8475e18302c176eb077918bc0f7669b98f728e17f10e546334780596d07ee9,BASELINE_CAPTURED,2025-12-24_Art32-1,2025-12-24_Art32-1,tw_sf_art32_1_family,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
